English name,Arabic name,Frequency,Polarity,SymbolRate,Quality,comment,news
Bahrain International,البحرين الدولية,11555,V,27500,HD,منوعات,
Baghdad HD,بغداد تى فى ,11555,V,27500,HD,منوعات,
Libya Government TV,تلفزيون ليبيا الرسمى,11555,V,27500,HD,منوعات,
Palestine TV,فلسطين تى فى ,11555,V,27500,HD,منوعات,
Palestine Live,فلسطين لايف,11555,V,27500,HD,منوعات,
Palestine News,فلسطين الاخبارية,11555,V,27500,HD,اخبار,
Palestine EDU,فلسطين التعليمية,11555,V,27500,HD,تعليمية,
Voice of Palestine,صوت فلسطين,11555,V,27500,HD,منوعات,
Africa TV 1 Quran,افريقيا قران كريم,11636,V,27500,HD,دينيه,
Sukariya Hekayat,السكرية حكايات,11678,V,27500,SD,مسلسلات,
Alshasha Cinema,الشاشه سينما,11678,V,27500,SD,افلام عربى,
Alshasha Musalsalat,الشاشه مسلسلات,11678,V,27500,SD,مسلسلات,
Sukariya Cinema,السكرية سينما,11678,V,27500,SD,افلام عربى,
Fox Be Elaraby TV,فوكس بالعربى,11678,V,27500,SD,مسلسلات,
Sukariya Zaman,السكرية زمان,11678,V,27500,SD,افلام عربى,
Fox Movies Egypt,فوكس موفيز مصر,11678,V,27500,SD,افلام اجنبى,
West Elbalad Zaman,وسط البلد زمان,11678,V,27500,SD,افلام عربى,
Beirut Aflam,بيروت افلام,11678,V,27500,SD,افلام عربى,
Beirut Alyoom,بيروت اليوم,11678,V,27500,SD,منوعات,
Beirut Cinema,بيروت سينما,11678,V,27500,SD,افلام عربى,
Al Omda Al Youm,العمده اليوم,11678,V,27500,SD,مسلسلات,
Beirut Drama,بيروت دراما,11678,V,27500,SD,مسلسلات,
Alshasha Rewayat,الشاشه روايات,11678,V,27500,SD,مسلسلات,
West Elbalad Drama,وسط البلد دراما,11678,V,27500,SD,مسلسلات,
Alking Drama,الكينج دراما,11678,V,27500,SD,مسلسلات,
One Movies Egypt,وان موفيز مصر,11678,V,27500,SD,افلام اجنبى,
Cairo Plus Cinema,كايرو بلس سينما,11678,V,27500,SD,افلام عربى,
Cairo Plus Drama,كايرو بلس دراما,11678,V,27500,HD,مسلسلات,
Melody Drama,ميلودى دراما,11678,V,27500,SD,مسلسلات,
Al Sukariya Classic,السكرية كلاسيك,11678,V,27500,SD,افلام عربى,
M Classic,ام كلاسيك,11678,V,27500,SD,افلام عربى,
Melody Aflam,ميلودى افلام,11678,V,27500,SD,افلام عربى,
Dolly Drama,دوللى دراما,11678,V,27500,SD,مسلسلات,
Dolly Mosalsalat,دولى مسلسلات,11678,V,27500,SD,مسلسلات,
Cookies Kids,كوكيز كيدز,11678,V,27500,SD,اطفال,
Dolly Alyoom,دولى اليوم,11678,V,27500,SD,مسلسلات,
Baby Egypt,اطفال مصر,11678,V,27500,HD,اطفال,
Alshasha Drama,الشاشه دراما,11678,V,27500,SD,مسلسلات,
Alshasha Hekayat,الشاشه حكايات,11678,V,27500,SD,مسلسلات,
Dolly Cinema,دوللى سينما,11678,V,27500,SD,افلام عربى,
Alshasha Film,الشاشه فيلم,11678,V,27500,SD,افلام عربى,
Elzaeem Drama,الزعيم دراما,11678,V,27500,SD,مسلسلات,
Sukariya Drama,السكرية دراما,11678,V,27500,SD,مسلسلات,
Elzaeem Cinema,الزعيم سينما,11678,V,27500,SD,افلام عربى,
Dolly Classic,دوللى كلاسيك,11678,V,27500,SD,مسلسلات,
Alking Aflam,الكينج افلام,11678,V,27500,SD,افلام عربى,
Cairo Plus Alyoum,كايرو بلس اليوم,11678,V,27500,SD,مسلسلات,
Al Omda Aflam,العمده افلام,11678,V,27500,SD,افلام عربى,
Al Omda Drama,العمده دراما,11678,V,27500,SD,مسلسلات,
One Drama,وان دراما,11678,V,27500,SD,مسلسلات,
Al Jazeera Channel,الجزيرة,12521,H,27500,HD,اخبار,
Al Jazeera Mubasher,الجزيرة مباشر,12521,H,27500,HD,اخبار,
Al Jazeera English,الجزيرة مباشر بالانجليزية,12521,H,27500,HD,اخبار,
Al Jazeera Documentary,الجزيرة وثائقية,12521,H,27500,HD,ثقافيه,
Al Jazeera Mubasher 2,الجزيرة مباشر 2,12521,H,27500,HD,اخبار,
Nefertiti Drama,نيفرتيتى دراما,12562,V,27500,SD,مسلسلات,
El Khoulasa Drama,الخلاصه دراما,12562,V,27500,SD,مسلسلات,
Layali Zaman,ليالى زمان,12562,V,27500,SD,مسلسلات,
Drama Egypt,دراما مصر,12562,V,27500,SD,مسلسلات,
Al Dawaar,الدوار,12562,V,27500,SD,منوعات,
Altamselia,التمثيلية,12562,V,27500,SD,مسلسلات,
Alostora Drama,الاسطوره دراما,12562,V,27500,SD,مسلسلات,
Drama Alyoom,اليوم دراما,12562,V,27500,SD,مسلسلات,
Dahab Drama,دهب دراما,12562,V,27500,SD,مسلسلات,
El Khoulasa Classic,الخلاصه كلاسيك,12562,V,27500,SD,افلام عربى,
Time Zaman,تايم زمان,12562,V,27500,SD,مسلسلات,
Alfa Hekayat,الفا حكايات,12562,V,27500,SD,مسلسلات,
Drama Be Alaraby,بالعربى دراما,12562,V,27500,SD,مسلسلات,
Alsa3ayda Madeeh,الصعايده مديح,12562,V,27500,SD,منوعات,
Alfa Drama,الفا دراما,12562,V,27500,SD,مسلسلات,
Alfa Mosalsalat,الفا مسلسلات,12562,V,27500,SD,مسلسلات,
Hikayat TV,حكايه تى فى ,12562,V,27500,SD,مسلسلات,
Hala Mosr3a,هلا مصارعه,12562,V,27500,SD,رياضة,
Cleopatra TV,كيلوباترا تى فى ,12562,V,27500,SD,منوعات,
Dahab Mosalsalat,دهب مسلسلات,12562,V,27500,SD,مسلسلات,
Iraqia News,العراق الاخبارية,12563,H,27500,HD,اخبار,
Iraqia Sport,العراق الرياضية,12563,H,27500,HD,رياضة,
Iraqia Entertainment,العراق منوعات,12563,H,27500,HD,منوعات,
Iraqi Drama,العراق درما,12604,V,27500,SD,مسلسلات,
Palestine News,فلسطين الاخبارية,12645,H,27500,SD,اخبار,
Palestine Live,فلسطين لايف,12645,H,27500,SD,منوعات,
Palestine TV,فلسطين تى فى ,12645,H,27500,SD,منوعات,
Palestine Sport,فلسطين الرياضيه,12645,H,27500,HD,رياضة,
Al Araby,العربى,12645,H,27500,HD,منوعات,
Moga Cinema,موجه سينما,12645,H,27500,SD,افلام عربى,
Moga Drama,موجه دراما,12645,H,27500,SD,مسلسلات,
Elfadjer Drama Dz,الفجر دراما,12645,H,27500,HD,مسلسلات,
Moga Comedy,موجه كوميدي,12645,H,27500,SD,مسلسلات,
Moga Today,موجه اليوم,12645,H,27500,SD,مسلسلات,
Play Aflam,بلاى افلام,12645,H,27500,SD,افلام عربى,
Play Cinema,بلاى سينما,12645,H,27500,SD,افلام عربى,
Play Drama,بلاى دراما,12645,H,27500,SD,مسلسلات,
Play Hekayat,بلاى حكايات,12645,H,27500,SD,مسلسلات,
Play Today,بلاى اليوم,12645,H,27500,SD,مسلسلات,
Yemen Education TV,اليمن التعليمية,12687,H,27500,SD,تعليمية,
France 24 English,فرانس 24 الانجليزية,12687,H,27500,HD,اخبار,
